usa,china
144,88
144,88
144,89
145,89
145,89
145,89
145,89
145,89
145,89
145,89
145,89
145,89
145,89
145,89
145,89
146,89
146,89
146,89
147,89
147,89
147,89
147,90
147,90
147,90
147,90
147,90
147,90
147,90
147,90
147,90
148,90
148,90
148,90
148,90
149,90
149,90
149,90
149,90
150,90
150,91
150,91
150,91
150,91
150,91
150,91
150,91
151,91
151,91
151,92
152,92
152,92
153,92
154,92
154,92
154,92
154,92
154,92
154,93
154,93
154,93
154,93
154,93
154,93
154,93
154,93
154,93
154,93
154,93
154,93
154,93
154,93
154,93
154,93
155,93
156,93
156,93
157,93
157,93
158,93
159,93
160,93
160,93
160,93
160,93
160,93
160,93
160,93
160,93
160,93
160,93
160,93
160,93
160,93
160,93
160,93
160,93
161,93
162,93
163,93
163,93
163,93
163,93
163,93
164,93
165,93
166,93
166,93
166,93
166,93
166,93
166,93
166,93
166,93
167,93
167,93
167,93
168,93
168,93
168,93
168,93
169,93
169,93
170,93
171,93
171,93
171,93
171,93
171,93
171,93
171,93
171,93
171,93
171,93
171,93
172,93
172,93
172,93
172,93
172,93
172,93
172,93
172,93
172,93
172,93
173,93
173,93
173,93
173,93
173,93
173,93
173,93
173,94
173,94
173,94
173,94
173,94
173,94
174,94
174,94
175,94
176,94
176,94
176,95
176,95
176,96
176,97
176,97
176,97
176,97
177,97
177,97
177,98
177,98
177,98
178,98
179,98
180,98
180,98
180,98
180,98
180,98
180,98
180,98
180,98
180,98
181,98
182,98
182,98
182,99
182,100
183,100
183,101
183,102
183,102
183,102
184,102
184,103
184,103
184,103
184,103
184,103
184,103
184,103
184,103
185,103
185,103
186,103
186,103
186,103
186,103
186,103
186,103
187,103
188,103
188,103
188,103
189,103
189,103
189,103
189,104
189,104
190,104
191,104
191,104
191,104
191,104
191,104
191,104
192,104
192,104
192,105
192,105
193,105
193,105
193,105
193,105
194,105
195,105
195,105
195,105
195,105
195,105
195,105
195,105
196,105
196,105
196,105
196,105
196,105
197,105
198,105
198,105
198,105
199,105
199,105
199,105
199,105
199,106
200,106
200,106
200,106
200,106
200,106
200,106
200,106
201,106
201,106
201,106
201,106
201,106
201,106
201,106
201,106
202,106
202,106
203,106
203,106
203,106
203,106
203,106
203,106
203,106
203,106
203,106
204,106
204,106
